N,spins_per_layer,beta,kappa,log_Z,overlap_per_site,overlap_response_to_kappa_per_site,intralayer_interaction_energy_per_spin,evaluation
35,16,0.2,0.29,24.250123989443995,0.31575331138865165,1.0084636216311798,-0.3822806385652734,Numerical finite sums from exact integer counts.
35,16,0.2,0.2925,24.262804512656395,0.31827203745462357,1.0065153597738696,-0.38276503403807605,Numerical finite sums from exact integer counts.
35,16,0.2,0.295,24.2755856873117,0.3207858788809113,1.0045559299925788,-0.38325249496624175,Numerical finite sums from exact integer counts.
35,16,0.2,0.2975,24.28846731746795,0.32329480789861303,1.0025854530505234,-0.38374299667878436,Numerical finite sums from exact integer counts.
35,16,0.2,0.3,24.301449206078452,0.32579879704100567,1.0006040499252222,-0.3842365144235905,Numerical finite sums from exact integer counts.
35,16,0.2,0.3025,24.314531155003905,0.32829781914406214,0.9986118417936088,-0.38473302336997384,Numerical finite sums from exact integer counts.
35,16,0.2,0.305,24.327712965024507,0.33079184734693184,0.9966089500172167,-0.3852324986112232,Numerical finite sums from exact integer counts.
35,16,0.2,0.3075,24.340994435852092,0.3332808550923827,0.9945954961274325,-0.385734915167148,Numerical finite sums from exact integer counts.
35,16,0.2,0.31,24.354375366142285,0.3357648161272093,0.9925716018108398,-0.38624024798661655,Numerical finite sums from exact integer counts.
35,16,0.2,0.3125,24.367855553506676,0.33824370450260055,0.9905373888946309,-0.3867484719500912,Numerical finite sums from exact integer counts.
35,16,0.2,0.315,24.381434794524978,0.3407174945744741,0.9884929793321069,-0.3872595618721549,Numerical finite sums from exact integer counts.
35,16,0.2,0.3175,24.39511288475726,0.34318616100377397,0.9864384951882623,-0.3877734925040344,Numerical finite sums from exact integer counts.
35,16,0.2,0.32,24.408889618756128,0.3456496787567305,0.9843740586254542,-0.3882902385361144,Numerical finite sums from exact integer counts.
